10,10,400
true,Ix0x0,0,intersection
false,Rx0x1,35,latRoad
true,Ix0x2,0,intersection
false,Rx0x3,35,latRoad
true,Ix0x4,0,intersection
false,Rx0x5,35,latRoad
true,Ix0x6,0,intersection
false,Rx0x7,35,latRoad
true,Ix0x8,0,intersection
false,Rx0x9,35,latRoad
true,Ix0x10,0,intersection
false,Rx0x11,35,latRoad
true,Ix0x12,0,intersection
false,Rx0x13,35,latRoad
true,Ix0x14,0,intersection
false,Rx0x15,35,latRoad
true,Ix0x16,0,intersection
false,Rx0x17,35,latRoad
true,Ix0x18,0,intersection
false,Rx1x0,35,ladRoad
false,Rx1x2,35,ladRoad
false,Rx1x4,35,ladRoad
false,Rx1x6,35,ladRoad
false,Rx1x8,35,ladRoad
false,Rx1x10,35,ladRoad
false,Rx1x12,35,ladRoad
false,Rx1x14,35,ladRoad
false,Rx1x16,35,ladRoad
false,Rx1x18,35,ladRoad
true,Ix2x0,0,intersection
false,Rx2x1,35,latRoad
true,Ix2x2,0,intersection
false,Rx2x3,35,latRoad
true,Ix2x4,0,intersection
false,Rx2x5,35,latRoad
true,Ix2x6,0,intersection
false,Rx2x7,35,latRoad
true,Ix2x8,0,intersection
false,Rx2x9,35,latRoad
true,Ix2x10,0,intersection
false,Rx2x11,35,latRoad
true,Ix2x12,0,intersection
false,Rx2x13,35,latRoad
true,Ix2x14,0,intersection
false,Rx2x15,35,latRoad
true,Ix2x16,0,intersection
false,Rx2x17,35,latRoad
true,Ix2x18,0,intersection
false,Rx3x0,35,ladRoad
false,Rx3x2,35,ladRoad
false,Rx3x4,35,ladRoad
false,Rx3x6,35,ladRoad
false,Rx3x8,35,ladRoad
false,Rx3x10,35,ladRoad
false,Rx3x12,35,ladRoad
false,Rx3x14,35,ladRoad
false,Rx3x16,35,ladRoad
false,Rx3x18,35,ladRoad
true,Ix4x0,0,intersection
false,Rx4x1,35,latRoad
true,Ix4x2,0,intersection
false,Rx4x3,35,latRoad
true,Ix4x4,0,intersection
false,Rx4x5,35,latRoad
true,Ix4x6,0,intersection
false,Rx4x7,35,latRoad
true,Ix4x8,0,intersection
false,Rx4x9,35,latRoad
true,Ix4x10,0,intersection
false,Rx4x11,35,latRoad
true,Ix4x12,0,intersection
false,Rx4x13,35,latRoad
true,Ix4x14,0,intersection
false,Rx4x15,35,latRoad
true,Ix4x16,0,intersection
false,Rx4x17,35,latRoad
true,Ix4x18,0,intersection
false,Rx5x0,35,ladRoad
