Ix0x0,Rx0x1
Rx0x1,Ix0x2
Ix0x2,Rx0x3
Rx0x3,Ix0x4
Ix0x4,Rx0x5
Rx0x5,Ix0x6
Ix0x6,Rx0x7
Rx0x7,Ix0x8
Ix0x8,Rx0x9
Rx0x9,Ix0x10
Ix0x10,Rx0x11
Rx0x11,Ix0x12
Ix0x12,Rx0x13
Rx0x13,Ix0x14
Ix0x14,Rx0x15
Rx0x15,Ix0x16
Ix0x16,Rx0x17
Rx0x17,Ix0x18
Rx1x0,Ix0x0
Rx1x0,Ix2x0
Rx1x2,Ix0x2
Rx1x2,Ix2x2
Rx1x4,Ix0x4
Rx1x4,Ix2x4
Rx1x6,Ix0x6
Rx1x6,Ix2x6
Rx1x8,Ix0x8
Rx1x8,Ix2x8
Rx1x10,Ix0x10
Rx1x10,Ix2x10
Rx1x12,Ix0x12
Rx1x12,Ix2x12
Rx1x14,Ix0x14
Rx1x14,Ix2x14
Rx1x16,Ix0x16
Rx1x16,Ix2x16
Rx1x18,Ix0x18
Rx1x18,Ix2x18
Ix2x0,Rx2x1
Rx2x1,Ix2x2
Ix2x2,Rx2x3
Rx2x3,Ix2x4
Ix2x4,Rx2x5
Rx2x5,Ix2x6
Ix2x6,Rx2x7
Rx2x7,Ix2x8
Ix2x8,Rx2x9
Rx2x9,Ix2x10
Ix2x10,Rx2x11
Rx2x11,Ix2x12
Ix2x12,Rx2x13
Rx2x13,Ix2x14
Ix2x14,Rx2x15
Rx2x15,Ix2x16
Ix2x16,Rx2x17
Rx2x17,Ix2x18
Rx3x0,Ix2x0
Rx3x0,Ix4x0
Rx3x2,Ix2x2
Rx3x2,Ix4x2
Rx3x4,Ix2x4
Rx3x4,Ix4x4
Rx3x6,Ix2x6
Rx3x6,Ix4x6
Rx3x8,Ix2x8
Rx3x8,Ix4x8
Rx3x10,Ix2x10
Rx3x10,Ix4x10
Rx3x12,Ix2x12
Rx3x12,Ix4x12
Rx3x14,Ix2x14
Rx3x14,Ix4x14
Rx3x16,Ix2x16
Rx3x16,Ix4x16
Rx3x18,Ix2x18
Rx3x18,Ix4x18
Ix4x0,Rx4x1
Rx4x1,Ix4x2
Ix4x2,Rx4x3
Rx4x3,Ix4x4
Ix4x4,Rx4x5
Rx4x5,Ix4x6
Ix4x6,Rx4x7
Rx4x7,Ix4x8
Ix4x8,Rx4x9
Rx4x9,Ix4x10
Ix4x10,Rx4x11
Rx4x11,Ix4x12
Ix4x12,Rx4x13
Rx4x13,Ix4x14
Ix4x14,Rx4x15
Rx4x15,Ix4x16
Ix4x16,Rx4x17
Rx4x17,Ix4x18
Rx5x0,Ix4x0
Rx5x0,Ix6x0
Rx5x2,Ix4x2
Rx5x2,Ix6x2
Rx5x4,Ix4x4
Rx5x4,Ix6x4
Rx5x6,Ix4x6
Rx5x6,Ix6x6
Rx5x8,Ix4x8
Rx5x8,Ix6x8
Rx5x10,Ix4x10
Rx5x10,Ix6x10
Rx5x12,Ix4x12
Rx5x12,Ix6x12
Rx5x14,Ix4x14
Rx5x14,Ix6x14
Rx5x16,Ix4x16
Rx5x16,Ix6x16
Rx5x18,Ix4x18
Rx5x18,Ix6x18
Ix6x0,Rx6x1
Rx6x1,Ix6x2
Ix6x2,Rx6x3
Rx6x3,Ix6x4
Ix6x4,Rx6x5
Rx6x5,Ix6x6
Ix6x6,Rx6x7
Rx6x7,Ix6x8
Ix6x8,Rx6x9
Rx6x9,Ix6x10
Ix6x10,Rx6x11
Rx6x11,Ix6x12
